Issue key,Issue id,Summary,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Status
PP-9268,983974,SendGridEmailActvityUpdater failing due to threading,,,,,,,Closed
PP-8664,965463,Handling Duplicate Registrations - 48 Hours,GPSS Sprint 22,,,,,5,Closed
PP-8670,965703,Sprint 21 - SVT Defect Fixes,GPSS Sprint 22,,,,,3,Closed
PP-8855,972452,"Dev - Configurable hours (24 hours, for Ex);  Up to how many hrs/days should job keep retrying for? ",GPSS Sprint 23,,,,,3,Closed
PP-8852,972429,DTP Email functionality Enhancements,GPSS Sprint 23,,,,,1,Closed
PP-8851,972355,Production Issues - Fixes and Support,GPSS Sprint 23,,,,,3,Closed
PP-8850,972353,"Sprint 22 - SVT Defect Fixes , SVT Deployment Support and Defect Testing",GPSS Sprint 23,,,,,3,Closed
PP-9698,1016606,Existing(Old) Amgen site testing with new DB ,,,,,,,Rejected
PP-2892,670107,Meeting Hours,,,,,,,Rejected
PP-4545,775684,Improve Page Performance,,,,,,,Development In Progress
PP-4256,746453,Enable Landing Page tracking in Sitecore Email Experience Manager,,,,,,,Rejected
PP-9697,1016415,Abbvie Landing page and defect fixes,Place for priority stories,,,,,,Rejected
PP-4156,738696,Hover state for buttons inconsistent *confirm if completed*,,,,,,,Rejected
PP-3734,720004,"Sizing request: Data Migration, Investigator Records Eloqua DB to a Sitecore Instance",,,,,,,Rejected
PP-3526,711635,Content items are using names rather than IDs *confirm status*,,,,,,,Rejected
PP-3512,710505,Fix for video playing in iPad/Safari *confirm if resolved*,,,,,,,Rejected
PP-3240,693475,Enable editing of Social Media metatags in Sitecore (confirm if completed),,,,,,,Rejected
PP-4008,732687,Social MetaTags & Robots.txt,,,,,,,Rejected
PP-9538,1004461,Abbvie Orihann - Defect fixes and validation,GPSS Sprint 29 - Rel 2021.5,,,,,5,Closed
PP-9539,1004462,CR.com issue and troubleshooting,GPSS Sprint 28 -  Rel 2021.5,GPSS Sprint 29 - Rel 2021.5,,,,3,Closed
PP-9661,1014101,testing jira gitlab intergration,,,,,,,Open
PP-9660,1014092,testing jira gitlab,,,,,,,Open
PP-8305,956435,To unshare “Tenant Key” field so that we will have unique key for each website.,GPSS Sprint 21,,,,,2,Closed
PP-8663,965146,Need a check in configuration to disable Status Update job for corresponding website,GPSS Sprint 22,,,,,2,Closed
PP-8645,964151,Amgen GENESIS - Unsubscribe & Update Profile link,GPSS Sprint 22,,,,,3,Closed
PP-8398,958480,"Amgen - ""About Aimovig® "" page and ""Important safety Information"" page",GPSS Sprint 21,,,,,,Closed
PP-7652,936210,AZ BENRA - Obtain & Install SSL Certification,GPSS Sprint 21,,,,,,Closed
PP-8157,951435,iPhone users not being able to get through Site Selection,GPSS Sprint 21,,,,,3,Closed
PP-8126,950900,Protocol Field in the Configuration needs to be unshared,GPSS Sprint 21,,,,,2,Closed
PP-7653,936212,AZ BENRA - US  SVT Findings,,,,,,,Closed
PP-4835,810788,RegEx validation for ZIP Code to be handled by Google MAP API,,,,,,,Closed
PP-4838,810793,RegEx validation for ZIP Code to be handled by Google MAP API,,,,,,,Closed
PP-4523,772984,Merck Evolution - Create & publish build using CI/CD,,,,,,,Closed
PP-4522,772983,Merck Evolution - Configure Referral DB,,,,,,,Closed
PP-3428,707945,GSK ContRAst - Configure Referral DB,,,,,,,Closed
PP-3427,707944,GSK ContRAst - Create/Configure CTMS incoming feed,,,,,,,Closed
PP-4519,772979,Merck Evolution - configure Sitecore analytics,,,,,,,Closed
PP-3429,707947,GSK ContRAst - Create & publish build using CI/CD,,,,,,,Closed
PP-3425,707942,GSK ContRAst - Configure sitecore analytics,,,,,,,Closed
PP-3424,707941,GSK ContRAst - Configure marketing component,,,,,,,Closed
PP-1170,588708,GenSight Reflect - site is optimised for visually impaired users,,,,,,,Closed
PP-1134,585289,Change to CTA label and action,,,,,,,Closed
PP-1031,577771,GenSight Reflect - As a prospective trial participant I cannot select a study site,,,,,,1,Closed
PP-438,460349,"Dot net frame work Upgrade for Janseen aware,mesoblast,Medi Iummne,revecto,Engage and emerge,Revecto, BIArthitis Bascially it should be cover all the Patieint Portal Projects",,,,,,,Closed
PP-4515,772974,Merck Evolution - create new ePR instance ,,,,,,,Closed
PP-3437,707999,GSK ContRAst - This ePR Instance should include the weighting/prioritisation of protocol functionality,,,,,,,Closed
PP-3420,707852,GSK ContRAst - Create new ePR instance [www.contrastraprogram.com],,,,,,,Closed
PP-3436,707998,GSK ContRAst - This ePR instance supports three distinct studies/protocols,,,,,,,Closed
PP-7650,936208,AZ BENRA - DtP instance creation,GPSS Sprint 21,,,,,,Closed
PP-6382,881035,"AZ COVID - The DtP instance should have the capability to support 5,000 concurrent users (infrastructure team)",,,,,,,Closed
PP-4527,772988,Merck Evolution  - instance should support protocol & site weighting/priority functionality as well as site thresholds,,,,,,,Closed
PP-3830,726491,Respivant Scenic - Create new ePR instance (domain pending),,,,,,,Closed
PP-4514,772973,Merck Evolution - purchase and install SSL certification - http://www.evolutionstudies.com/,,,,,,,Closed
PP-4516,772976,Merck Evolution - add content to ePR instance,,,,,,,Closed
PP-3837,726498,Respivant Scenic - add content to instance,,,,,,,Closed
PP-3814,726302,"NOVARTIS EXCHANGE - Configure survey gizmo, Metadata and Google Analytics (content editor)",,,,,,,Closed
PP-3426,707943,"GSK ContRAst - Configure survey gizmo, Metadata and Google Analytics (content editor)",,,,,,,Closed
PP-3422,707930,GSK ContRAst - Add content to ePR instance,,,,,,,Closed
PP-7804,941021,Abbvie BLOOM - US Spanish     SVT Findings,GPSS Sprint 21,,,,,,Closed
PP-8198,952708,ACOE Screener- Architecture Design,GPSS Sprint 20,,,,,,Closed
PP-8420,959182,UAT - Avacare,GPSS Sprint 21,,,,,2,Closed
PP-4644,783531,Theravance SEQUOIA - UAT parent ticket (pls create UAT items under this ticket),,,,,,,Closed
PP-4528,772989,"Merck Evolution - UAT parent story, please create UAT feedback under this ticket",,,,,,,Closed
PP-3431,707951,GSK ContRAst - UAT Feedback,,,,,,,Closed
PP-1530,619124,Sunovion Parkinson's UAT,,,,,,,Closed
PP-4774,800821,UAT Parent ticket,,,,,,,Closed
PP-4518,772978,Merck Evolution - configure marketing component,,,,,,,Closed
PP-4517,772977,Merck Evolution - Add branding to ePR instance,,,,,,,Closed
PP-3423,707931,GSK ContRAst - Add branding to ePR instance,,,,,,,Closed
PP-2635,660394,"GenSight ePR: Add validation for UK Postal Codes, Phone Numbers",,,,,,,Closed
PP-1169,588669,GenSight Reflect - CTA with pop up disclaimer,,,,,,,Closed
PP-3405,706883,Rebuild/Update portal from Baseline (include multi-country/language),,,,,,,Closed
PP-2297,652617,FR-602 - Report of patient portal usage,SPN - AZ MCL Sprint 4,,,,,,Closed
PP-379,441830,TecGistry- Canada : Content and Email Amends for SVT,,,,,,,Closed
PP-8399,958564,Amgen GENESIS Specific Mailboxes,GPSS Sprint 21,,,,,,Closed
PP-4524,772985,Merck Evolution - Email mailboxes,,,,,,,Closed
PP-3430,707949,GSK ContRAst - Email mailboxes,,,,,,,Closed
PP-3818,726307,NOVARTIS EXCHANGE - Email mailboxes,,,,,,,Closed
PP-8770,970505,Ensure Google OPTIMIZE snippet work with latest DTP Base Platform with Cookie Banner Present,GPSS Sprint 23,,,,,5,Closed
PP-8224,953901,Production Issue : AZ and Generic Update Job ,GPSS Sprint 20,GPSS Sprint 21,,,,,Closed
PP-8225,953902,Production: Janssen Update Job,GPSS Sprint 20,GPSS Sprint 21,,,,,Closed
PP-8192,952167,Amgen - emails sent out as per the Communications Program,GPSS Sprint 21,,,,,,Closed
PP-8193,952168,Amgen - No HCP user access,GPSS Sprint 21,,,,,,Closed
PP-8127,950901,Need a check in configuration to disable Status Update job for corresponding website,GPSS Sprint 20,,,,,,Closed
PP-8522,962141,for Iphone table display issue,,,,,,,Closed
PP-7492,932835,Abbvie BLOOM - Need SVT instance for US Spanish,GPSS Sprint 21,,,,,2,Closed
PP-6443,883027,DTP Contact Form Mobile Phone Number (needed for LifeLink),GPSS Sprint 9,,,,,3,Closed
PP-8675,966249,Add Google OPTIMIZE snippet on SVT STORMCHASER site English language,GPSS Sprint 22,,,,,3,Closed
PP-8226,953904,Otsuka ANCHOR Referrals,GPSS Sprint 20,GPSS Sprint 21,,,,,Closed
PP-9299,986042,Additional gender values to be added on DTP platform,GPSS Sprint 26,,,,,3,Closed
PP-8646,964154,Roche OCREVUS - links in Re-Scheduled email not working,GPSS Sprint 22,,,,,3,Closed
PP-9362,988591,Business Logic for optimization of all jobs (requested by dev team- Protocol Logic),GPSS Sprint 25,,,,,,Closed
PP-9492,998677,Sprint 26 - Testing - Defect Fixes,GPSS Sprint 27 - Rel - 2021.5,,,,,5,Rejected
PP-9477,997009,Abbvie ORIAHNN - Instance Creation,GPSS Sprint 27 - Rel - 2021.5,,,,,3,Closed
PP-9416,992239,Demo Feedback for additional Gender values,GPSS Sprint 27 - Rel - 2021.5,,,,,3,Closed
PP-7849,941795,Merge Tags to be available on Map popup,GPSS Sprint 22,,,,,3,Rejected
PP-9427,992997,ePR is failing/Performance degraded when RH is unable handle load from ePR,,,,,,,Open
PP-9406,991873,Exploration - Check mobile version of Android & take action if v7.0 or lower,Place for priority stories,,,,,,Open
PP-9363,988652,"Protocol Based Processing, for optimization of all jobs (requested by dev team)",GPSS Sprint 25,,,,,,Rejected
PP-9270,984636,DTP - Amend CSS so that videos are responsive,Place for priority stories,,,,,,Open
PP-9253,983319,Sitecore CMS changes - Change GoogleManager URL field into a checkbox,Place for priority stories,,,,,,Open
PP-9251,983317,Sitecore CMS changes - Update Help Text in CMS Settings,Place for priority stories,,,,,,Open
PP-9252,983318,Sitecore CMS changes - Audit & Update all the metatags,Place for priority stories,,,,,,Open
PP-9250,983316,Sitecore CMS changes,GPSS Sprint 24,,,,,,Rejected
PP-9245,983201,DTP - Sendgrid data downloaded.  Join with our Patient data,Place for priority stories,,,,,,Open
PP-9163,981332,DevOps - CI/CD changes,GPSS Sprint 24,,,,,,Development In Progress
PP-9124,981158,Release Notes and System Manual Updates,GPSS Sprint 24,,,,,2,Development In Progress
PP-9107,979858,Investigator Portals - Implement Vimeo iframe into V3 Investigator Portals-Phase 2,,,,,,3,Development In Progress
PP-8758,970204,DTP - DoD (military personnel) Site Selection,Place for priority stories,,,,,,Rejected
PP-8708,967318,"CR.com - Production issue - Size update broke previous fix to Articles for CR, RITM14253530",,,,,,,Rejected
PP-8655,965059,Abbvie BLOOM - links in Re-Scheduled email not working,GPSS Sprint 22,,,,,3,Testing In Progress
PP-8622,963116,POC - Integrate Sitecore 10 CMS with backend of ACOE,Place for priority stories,,,,,,Open
PP-8523,962143,fr cookies are not getting deleted,,,,,,,Development In Progress
PP-8447,959656,MyLife Digital - Concentric Preference Center (citizen preferences) ,Place for priority stories,,,,,,Open
PP-8391,958278,AZ Benra:On both iPad and iPadpro the confirm DNQ page header text got truncated,,,,,,,Development In Progress
PP-8352,957245,SurveyGizmo to send to DTP (& Lifelink) a Scheduling Window,Place for priority stories,,,,,,Rejected
PP-8280,956366,Merck Evolution 1.1:  Afrikaans (South Africa) ,,,,,,,Rejected
PP-8073,948599,"Need to look into safeguarding DTP from incoming spurious ATID parameter, at F5 Level",Place for priority stories,,,,,,Open
PP-8036,948275,UAT Issue - Janssen Ensemble - On Site selection page - Multiple click on back button able to edit the previous screen,GPSS Sprint 19,Place for priority stories,,,,,Rejected
PP-7966,946392,LL status can be affected by age input on contact form (addition to PP-7484),Place for priority stories,,,,,,Open
PP-7965,946391,Sitecore - Default configuration settings when a new instance is created,Place for priority stories,,,,,,Open
PP-7962,946384,'studyname' Merge field on Success pages should be the protocol Indication Field,GPSS Sprint 21,,,,,2,Rejected
PP-7945,945045,match sub-set of referrals with stated age and diversity data to specified sites per protocol,Place for priority stories,,,,,,Open
PP-7908,943149,"AZ Spanish(US) Prod: •	On changing Language(US / Spanish) from language dropdown, extra characters are getting appended to URL",,,,,,,Rejected
PP-7907,943144,AZ Spanish(US) Prod: LL is redirecting to “US Success” page on Prod from Spanish(US) website.,,,,,,,Rejected
PP-7875,942496,AZ Spanish Prod Issues,,,,,,,Rejected
PP-7834,941543,Biogen Single WebPage for registry access,Place for priority stories,,,,,,Rejected
PP-7824,941397,ACOE trial matcher - integration into welcome email functionality,Place for priority stories,,,,,,Open
PP-7769,939920,Noven SVT issues,GPSS Sprint 17,,,,,,Rejected
PP-7753,939314,Janssen Ensmeble SVT issues - UK (3009),,,,,,,Rejected
PP-7721,938578,Devices: Calendar icon is not displayed for 9th question,,,,,,,Rejected
PP-7693,938055,ACOE integration request,Place for priority stories,,,,,,Open
PP-7682,937517,job to associate no site available status referrals to new sites - handling invited site/protocol,,,,,,,Rejected
PP-7648,936079,(DEPENDENCY ON RH) DtP addition to background job (PP-7608) - site not found in RH,Place for priority stories,,,,,,Open
PP-9491,998582,Addition of SiteCore editable banner for DTP 1.1 platform,,,,,,,Closed
PP-7647,936065,DtP - Enhancements to PP-7008 background job change,,,,,,,Open
PP-9488,997562,Testing - Optimization for all jobs,Place for priority stories,,,,,5,Open
PP-9049,977992,DTP : Match columns lengths used in Stored Procedures and temp tables with main table columns,GPSS Sprint 24,GPSS Sprint 26,,,,3,Rejected
PP-4188,742191,TO TEST - Overriding reqs for Germany,,,,,,,Rejected
PP-9425,992723,Sprint 25 Testing - Defect Fixing - Testing - Performance Fixes - Testing ,GPSS Sprint 26,,,,,7,Closed
PP-9423,992720,Release Notes and System Manual update,GPSS Sprint 26,,,,,5,Closed
PP-9468,996186,Roche OCREVUS - Home button/link required in header navigation menu ,GPSS Sprint 26,,,,,,Closed
PP-9118,980846,Acknowledgement Post Message from ePR to iframe Source,GPSS Sprint 26,,,,,2,Closed
PP-8922,974537,Integration Background Job - Technical Story,GPSS Sprint 24,,,,,2,Closed
PP-6767,898852,On iPhone survey button colours are not correct,Place for priority stories,,,,,,Rejected
PP-7407,929511,UAT issue - Language text in Date Picker,Place for priority stories,,,,,,Rejected
PP-8445,959614,SVG images on SVT SiteCore,GPSS Sprint 21,Place for priority stories,,,,,Open
PP-7949,945926,Redirect to homepage from Error,GPSS Sprint 18,GPSS Sprint 26,,,,3,Closed
PP-6414,882301,Remove all third party url used for JS or CSS,Place for priority stories,,,,,,Open
PP-9257,983928,Sitecore Fake DB - Unit Testing,GPSS Sprint 25,Place for priority stories,,,,5,Development In Progress
PP-7185,917841,"Store Browser, OS and Platform/Device details for every user",,,,,,,Rejected
PP-5918,866194,AZ MCL Master subject report (MSR) issues,GPSS Sprint 7,,,,,3,Closed
PP-6545,886919,CSS not cleared after cache clear,,,,,,,Rejected
PP-4788,802691,Merck Evolution - iFrame implementation,GPSS Sprint 22,,,,,3,Closed
PP-6934,910040,TID header with the unique Referral Code value in the outbound web service calls to the CloudHub API’s,Place for priority stories,,,,,,Open
PP-6792,901005,Urgent request - posting AZ COVID  reg data to sFTP from SQL DB on a frequent basis for call center access,Place for priority stories,,,,,,Open
PP-9239,982687,Analysis and Estimation of Unit Testing Framework,GPSS Sprint 24,,,,,2,Development Complete
PP-5554,858240,DtP - Download SendGrid data and hold on our site (as done on AZ MCL),GPSS Sprint 23,,,,,3,Closed
PP-5577,858484,EPM-REM - Remove Lucene indexes from SVT Server,,,,,,,Closed
PP-5576,858483,EPM-REM - Remove Lucene indexes from Dev Server,,,,,,,Closed
PP-462,467297,SVT : Other Efforts -- PP (Meetings),,,,,,,Rejected
PP-468,467358,SVT : Other Efforts -- PP (Documentation),,,,,,,Rejected
PP-2939,675831,(FR-101) - test questionnaire layout,,,,,,,Rejected
PP-2296,652616,FR-601 - A report is generated to enable processing of tokens of appreciation.,SPN - AZ MCL Sprint 4,,,,,,Rejected
PP-5148,846377,EPM-REM - Identify performance issues on the front-end,,,,,,,Closed
PP-5520,857190,CD EXM Configuration,,,,,,,Rejected
PP-5130,845110,EPM-REM - Analyze and identify DB Pre-fetch setings,,,,,,,Closed
PP-5541,857803,EPM-RM - Integrate the JavaScript for the menu,,,,,,,Closed
PP-5257,851219,EPM-REM - Move layouts to renderings Part 1,,,,,,,Closed
PP-5165,848423,EPM-REM - Apply Cache settings on the identified resources - Part 2,,,,,,,Closed
PP-5156,846635,Identify resources for part 2 implementation,,,,,,,Closed
PP-4793,802741,Theravance SEQUOIA - iFrame implementation,,,,,,,Rejected
PP-4792,802724,Milestone NODE303 - iFrame implementation,,,,,,,Rejected
PP-4791,802719,Sunovion 203 Parkinson's - iFrame implementation,,,,,,,Open
PP-4790,802699,Milestone Node 303 - iFrame implementation,,,,,,,Rejected
PP-4789,802693,GSK Cosmis - iFrame implementation,,,,,,,Open
PP-4787,802403,ePR instance - iFrame implementation,,,,,,,Open
PP-4786,802400,CVD Studies - iFrame implementation,,,,,,,Open
PP-4784,802397,Retrophin Protect - iFrame implementation,,,,,,,Rejected
PP-4779,802332,GSK Contrast - iFrame implementation,,,,,,,Open
PP-4782,802335,Pear Enable - iFrame implementation,,,,,,,Rejected
PP-467,467317,SVT : Other Efforts -- QP/LMS (Release Activities),,,,,,,Rejected
PP-463,467300,SVT : Other Efforts -- QP/LMS (Meetings),,,,,,,Rejected
PP-408,448182,QCC contact reschedule email ,,,,,,,Rejected
PP-899,554983,German QCC access to site,,,,,,,Rejected
PP-4839,810794,RegEx validation for ZIP Code to be handled by Google MAP API,,,,,,,Rejected
PP-1259,593325,Retrophin - Referral email requirements,,,,,,,Rejected
PP-1525,618879,Application setup and Config,,,,,,,Closed
PP-2065,649726,Lenny Feedback in PPT,,,,,,,Rejected
PP-4308,750602,Need to capture the source of user registration,,,,,,,Rejected
PP-4847,810873,RegEx validation for ZIP Code to be handled by Google MAP API,,,,,,,Rejected
PP-1358,594877,Seres Eco-Reset,,,,,,,Closed
PP-7502,933231,"Seres Eco-Reset - New Feature, need a carousel for the hero image & CTA",GPSS Sprint 23,,,,,3,Rejected
PP-8811,971421,Review and update System Manual,GPSS Sprint 23,,,,,2,Closed
PP-8921,974268,Tecgistry No Longer Recruiting.   Site to be changed.,,,,,,,Closed
PP-8808,971417,Update System Manual - Email Job,GPSS Sprint 23,,,,,2,Closed
PP-8809,971419,Update System Manual - Status Update,GPSS Sprint 23,,,,,2,Closed
PP-8810,971420, Update System Manual - Background Job,GPSS Sprint 23,,,,,2,Closed
PP-6155,876661,Automation of Protocols and Site creation,Place for priority stories,,,,,,Open
PP-6921,908617,Version of Success Page shown to user to be Sitecore configurable,Place for priority stories,,,,,3,Rejected
PP-6478,883976,Validation of mobile phone number input on contact information form,Place for priority stories,,,,,,Rejected
PP-7226,921400,Janssen DtP instance cookie management - CookiePro,Place for priority stories,,,,,,Rejected
PP-7503,933256,DTP New feature - Hero image & CTA carousel ,Place for priority stories,,,,,,Rejected
PP-8634,964007,Configurable query prams to retain on refresh or logo click,GPSS Sprint 22,,,,,2,Closed
PP-8641,964025,Background Job : Apply Google API functionality for google calls,GPSS Sprint 22,,,,,3,Closed
PP-6777,900525,special characters in UTM string causing an issue with screener in dtp instance,Place for priority stories,,,,,,Open
PP-6944,910078,Attribution ID System (implement into COVID - US and AUS),Place for priority stories,,,,,5,Development In Progress
PP-7196,918646,Need to send 'HoldScheduling' users to LifeLink,Place for priority stories,,,,,,Open
PP-7409,929515,UAt issue - Display of DOB format on contact page should be configurable in sitecore,Place for priority stories,,,,,,Rejected
PP-6746,896863,AZMCL Job issues in Production,Place for priority stories,,,,,,Rejected
PP-396,443323,Uk Content Development in site core,,,,,,,Rejected
PP-400,443337,ZinGistry website error,,,,,,,Rejected
PP-212,401220,Plegridy - HCP SMS content update,,,,,,,Rejected
PP-298,419206,Bug Fixing,,,,,,,Rejected
PP-269,413710,Mesoblast CASCADE - update to screener,,,,,,,Rejected
PP-262,408004,Emerge/Engage - Update to Screener Logic,,,,,,,Rejected
PP-7793,940497,400 issue during GetPatientbyEmailId call,,,,,,,Rejected
PP-6776,900524,addition of special characters in UTM parameter string breaks LL (LL to resolve),Place for priority stories,,,,,3,Open
PP-6714,894342,New DTP enhancements relating to Appointment Scheduling process,Place for priority stories,,,,,,Development Complete
PP-6684,893396,DtP platform - processing subjects with identical email address,Place for priority stories,,,,,,Open
PP-6505,884729,"[DTP 1.6]: Sync - PRD, SVT and DEV",Place for priority stories,,,,,3,Rejected
PP-6504,884727,"[DTP 1.4.2 - Covid 19 AU]: Sync - PRD, SVT and DEV",Place for priority stories,,,,,3,Rejected
PP-6503,884726,"[DTP 1.4.2 - Covid 19 US]: Sync - PRD, SVT and DEV",Place for priority stories,,,,,3,Rejected
PP-7426,930755,"Amgen - Configure Amgen Instance (scripts, db's, super-user interface, etc.)",Place for priority stories,,,,,3,Rejected
PP-6868,904527,"New 'outer radius' site limit to increase number of users assigned to a site, plus mitigate any client-side problems",Place for priority stories,,,,,,Open
PP-7445,932028,Green Memory DtP SVT findings,,,,,,,Rejected
PP-7957,946269,Sitecore Languages in Content Editor,GPSS Sprint 21,,,,,,Development Complete
PP-5702,861918,Regression testing for AZMCL 2.2,,,,,,,Rejected
PP-5329,853069,Profiling recommendations ,Place for priority stories,,,,,,Rejected
PP-5427,855856,UTM Parameters should get retain in URL when user access/clicks the portal logo and header navigation links from all different forms,,,,,,,Rejected
PP-5298,852381,Display alerts are not working when the page gets refreshed,,,,,,,Rejected
PP-5299,852393,Contact Info Page getting refreshed during the redirection after screener completion,,,,,,,Rejected
PP-7452,932113,AZ Stormchaser DtP 1.0: UK instance SVT findings,,,,,,,Rejected
PP-7451,932111,AZ Stormchaser DtP 1.0: US instance SVT findings,,,,,,,Rejected
PP-7446,932040,AZ Provent (Covid) DTP 1.0 US version SVT findings,,,,,,,Rejected
PP-7449,932106,AZ Provent DTP - create instance(s),,,,,,,Rejected
PP-6334,880265,Technical Story : DTP 1.6 : Enable CDC for tables in PiiDatabase,GPSS Sprint 10,,,,,3,Rejected
PP-6201,876817,User is opted out of functional cookies until they opt in to accept them,GPSS Sprint 10,,,,,3,Rejected
PP-5921,866212,URL redirects from Thank you pages    (Implement into DTP 1.6),GPSS Sprint 7,,,,,5,Closed
PP-6829,903130,Specific Emails to be sent dependent upon Appointment Status,,,,,,,Rejected
PP-7558,934018,Janssen Ensemble - South Africa - Zulu language issues,,,,,,,Rejected
PP-5019,838766,OTSUKA ANCHOR - UAT parent ticket,,,,,,,Rejected
PP-5124,845018,EPM-REM - Apply Cache settings on the identified resources - Part 1,,,,,,,Rejected
PP-5180,848887,EPM-REM - Update front-end code with focus on quick wins.,,,,,,,Rejected
PP-5146,846333, EPM-REM - Solr Search SVT,,,,,,,Rejected
PP-5069,843120,EPM-REM - Upgrade Sitecore search to use Solr,,,,,,,Rejected
PP-5145,846332,EPM-REM - Solr Search test design,,,,,,,Rejected
PP-714,541419,HECEXP16 for the Month of  December,,,,,,,Rejected
PP-601,518055,HECEXP16 for the Month of September,,,,,,,Rejected
PP-596,513683,HECEXP16 for the Month of September,,,,,,,Rejected
PP-595,513682,HECEXP16 for the Month of September,,,,,,,Rejected
PP-589,500743,HECEXP16 related tasks for the Month of August,,,,,,,Rejected
PP-588,500742,HECEXP16 related tasks for the Month of Augst,,,,,,,Rejected
PP-587,500740,HECEXP16 related tasks for the Month of July,,,,,,,Rejected
PP-582,499069,HECEXP16 related tasks for the Month of July,,,,,,,Rejected
PP-523,478991,SVT : TecGistry Enail/SMS templates update to SiteCore,,,,,,,Rejected
PP-573,494047,Tecgistry-Canada Bug Fixing in Formal Testing,,,,,,,Rejected
PP-450,465153,Tecgistry Email and SMS templates Moving to Site core,,,,,,,Rejected
PP-564,483157,Tecgistry  Canada :Welcome SMS is not received informal testing,,,,,,,Rejected
PP-566,488848,Tecgistry USA HCP View Changes for DB script,,,,,,,Rejected
PP-1919,645285,Tecgistry - notification email to QCC user,,,,,,,Rejected
PP-402,443835,Tecgistry USA: Email Review Amends,,,,,,,Rejected
PP-410,450646,Tecgistry USA: Email Amendment review Comments ,,,,,,,Rejected
PP-372,441821,Tecgistry USA :HCP Password Reset Page Footer code Change,,,,,,,Rejected
PP-371,441820,Tecgistry USA:ISI Content update for Missing Text,,,,,,,Rejected
PP-373,441822,"Tecgistry USA	:Revised footer codes For email Templates",,,,,,,Rejected
PP-370,441819,Tecgistry USA :Home Page and About tecfidra Content Update,,,,,,,Rejected
PP-369,441818,Tecgistry USA : ISI Page Updation In Patient View,,,,,,,Rejected
PP-368,441817,Tecgistry USA :ISI Page upation Request For HCP View,,,,,,,Rejected
PP-367,441816,Tecgistry USA Footer Amends,,,,,,,Rejected
PP-4918,826874,Stoke MONARCH - RegEx validation for ZIP Code to be handled by Google MAP API,,,,,,,Rejected
PP-4917,826872,Stoke MONARCH - UAT Parent Ticket,,,,,,,Rejected
PP-6853,904281, Qualsys Scan Report (cloned from Janssen Ensemble),,,,,,5,Development Complete
PP-6859,904318,DARM findings from Janssen Ensemble need to be applied to Janssen Ensemble,,,,,,,Rejected
PP-6209,876843,Janssen MDD DtP- PS team - Publicly accessibly pre-prod URL required,,,,,,,Rejected
PP-6510,885018,Google Autocomplete 'Places API' on Contact Form,Place for priority stories,,,,,3,Rejected
PP-6867,904526,Change button text on site selection based on eligibility statuses,Place for priority stories,,,,,,Rejected
PP-4841,810798,RegEx validation for ZIP Code to be handled by Google MAP API,,,,,,,Rejected
PP-6402,881585,Email and SMS reporting tabs are not opening in Sitecore,,,,,,,Rejected
PP-4837,810792,RegEx validation for ZIP Code to be handled by Google MAP API,,,,,,,Rejected
PP-4831,809252,Remove Screener,,,,,,,Rejected
PP-4692,791222,PDF nav link to be directly hyperlinked to Tecfidera.com,,,,,,,Rejected
PP-4616,781233,Enforce expected behaviour for privacy opt in where user is registered by CC,,,,,,,Rejected
PP-3347,702935,CFR part 11 compliance review,,,,,,,Rejected
PP-3314,700758,GDPR compliance,,,,,,,Rejected
PP-6890,907078,Referral API performance improvements,Place for priority stories,,,,,,Rejected
PP-6197,876811,"The DtP instance should have the capability to support 5,000 concurrent users (infrastructure team)",,,,,,,Rejected
PP-7395,928875,DTP Base Platform - Font change from 'Muli' to 'Noto Sans' to fix 'y Y' issue,Place for priority stories,,,,,,Open
PP-167,368656,Homepage content AB testing implementation,,,,,,,Rejected
PP-4757,800372,Need to update both the  PII db and Mongo db at the same time,,,,,,,Rejected
PP-4681,789812,Load Balancing of Trial Intent,,,,,,,Rejected
PP-4392,757110,PP portals optimization for issue related to CPU and memory utilization on servers,,,,,,,Rejected
PP-4286,749626,Automate Emails when ePR referrals rejected by Salesforce,,,,,,,Open
PP-4529,773292,Configure page to host 'About Clinical Trial' animation,,,,,,,Rejected
PP-4202,742899,SurveyGizmo questionnaire pulled into ePR via iFrame,,,,,,,Rejected
PP-4535,775636,Sitecore CMS platform improvements (not as relevant as it was as we're moving to Sitecore 10),,,,,,,Rejected
PP-3839,726500,Respivant Scenic - expected 'medeor mercury' instance behaviour is observed,,,,,,,Rejected
PP-3747,721856,"Retrophin DUPLEX ""Contact Me"" button not working in SVT on Contact-info page en-GB",,,,,,,Rejected
PP-3805,726007,Learning Corp VCT - referral registration form,,,,,,,Rejected
PP-3804,726005,Learning Corp VCT - customisation of ‘Study Periods’ section,,,,,,,Rejected
PP-3803,726003,Learning Corp VCT - UAT feedback,,,,,,,Rejected
PP-3801,726001,Learning Corp VCT - Referrals to be directed to Referral Hub,,,,,,,Rejected
PP-3800,726000,Learning Corp VCT - Configuration of survey,,,,,,,Rejected
PP-3799,725999,Learning Corp VCT - add content to instance,,,,,,,Rejected
PP-3322,702164,Cookie solution per country (review in req grooming),,,,,,,Rejected
PP-3232,693157,CR.Com - Add Twitter Card capability on the HealthDay articles ,,,,,,,Rejected
PP-3083,680343,Jazz Chords - Content and Config,,,,,,,Rejected
PP-3216,691596,Account activation page - payment details page content addition,,,,,,,Development Complete
